generation genome measures value
4 15 total_components 0.11
5 23 branching 0
5 23 connectivity1 0.167
5 23 connectivity2 1
5 23 coverage 1
5 23 effective_joints 0
5 23 length_ratio 0.111
5 23 sensors 0
5 23 symmetry 0
5 23 total_components 0.09
5 24 branching 0
5 24 connectivity1 0.111
5 24 connectivity2 1
5 24 coverage 1
5 24 effective_joints 0
5 24 length_ratio 0.077
5 24 sensors 0
5 24 symmetry 0
5 24 total_components 0.13
5 18 branching 0
5 18 connectivity1 0.333
5 18 connectivity2 1
5 18 coverage 1
5 18 effective_joints 0
5 18 length_ratio 0.25
5 18 sensors 0
5 18 symmetry 0
5 18 total_components 0.04
5 27 branching 0
5 27 connectivity1 0.5
5 27 connectivity2 0.75
5 27 coverage 0.5
5 27 effective_joints 0
5 27 length_ratio 0.75
5 27 sensors 0.25
5 27 symmetry 0.4
5 27 total_components 0.06
5 6 branching 0
5 6 connectivity1 0.111
5 6 connectivity2 1
5 6 coverage 0.52
5 6 effective_joints 0
5 6 length_ratio 1
5 6 sensors 0.181818
5 6 symmetry 0
5 6 total_components 0.13
5 22 branching 0
5 22 connectivity1 0.1
5 22 connectivity2 1
5 22 coverage 1
5 22 effective_joints 0
5 22 length_ratio 0.071
5 22 sensors 0
5 22 symmetry 0
5 22 total_components 0.14
5 25 branching 0
5 25 connectivity1 0.1
5 25 connectivity2 1
5 25 coverage 1
5 25 effective_joints 0
5 25 length_ratio 0.071
5 25 sensors 0
5 25 symmetry 0
5 25 total_components 0.14
5 28 branching 0
5 28 connectivity1 0.25
5 28 connectivity2 1
5 28 coverage 1
5 28 effective_joints 0.5
5 28 length_ratio 0.167
5 28 sensors 0
5 28 symmetry 0
5 28 total_components 0.06
5 7 branching 0
5 7 connectivity1 0.167
5 7 connectivity2 1
5 7 coverage 0.667
5 7 effective_joints 0.333
5 7 length_ratio 0.75
5 7 sensors 0.166667
5 7 symmetry 0
5 7 total_components 0.08
5 2 branching 0
5 2 connectivity1 0.111
5 2 connectivity2 1
5 2 coverage 1
5 2 effective_joints 0
5 2 length_ratio 0.077
5 2 sensors 0
5 2 symmetry 0
5 2 total_components 0.13
6 24 branching 0
6 24 connectivity1 0.111
6 24 connectivity2 1
6 24 coverage 1
6 24 effective_joints 0
6 24 length_ratio 0.077
6 24 sensors 0
6 24 symmetry 0
6 24 total_components 0.13
6 23 branching 0
6 23 connectivity1 0.167
6 23 connectivity2 1
6 23 coverage 1
6 23 effective_joints 0
6 23 length_ratio 0.111
