100|61|41|47|1|61|1|100|7|-36 
1|100|1|100|1|34|50|100|3|-9 26 28 29 
1|100|1|100|1|50|34|1|2|-2 18 20 27 
1|100|1|67|1|67|1|100|4|-39 
1|10|100|54|15|84|32|1|16|-15 
1|11|100|32|1|56|1|19|14|-3 
1|11|100|70|1|81|1|34|14|-22 
1|15|100|36|1|58|1|1|10|-1 
1|15|100|84|25|75|23|1|10|-25 
1|17|100|41|100|81|23|1|8|-41 45 
1|17|100|41|1|81|40|1|8|-30 
1|17|100|54|1|61|29|34|8|-50 
1|1|1|100|1|100|25|1|1|-14 
1|25|100|100|1|17|1|1|6|-5 
1|25|100|100|1|17|34|1|6|-11 
1|25|100|100|1|21|1|1|5|-13 
1|25|100|50|1|75|20|1|6|-47 
1|25|100|56|50|100|20|1|5|-17 
1|25|100|61|1|41|40|1|6|-31 
1|25|100|63|1|50|1|1|5|-37 
1|25|100|63|1|50|20|1|5|-43 
1|25|100|75|1|50|29|1|6|-48 
1|29|75|63|25|100|20|29|10|-51 54 
1|34|100|100|1|25|34|1|4|-21 
1|34|100|67|100|67|1|1|4|-6 
1|34|100|67|100|67|40|1|4|-8 
1|34|100|67|1|67|20|1|4|-16 
1|34|100|67|1|67|40|1|4|-52 53 
1|50|100|100|1|34|34|1|3|-32 34 35 38 40 42 44 46 49 
1|50|100|75|1|100|20|1|3|-19 
1|50|100|75|1|100|40|1|3|-23 
1|50|34|50|34|100|1|1|8|-4 
1|50|34|63|50|50|15|1|5|-12 
1|50|41|43|21|58|18|21|12|-0 
1|50|50|41|34|81|1|29|8|-24 
1|50|50|61|50|41|23|50|6|-10 
1|61|61|47|67|61|45|81|7|-33 
1|6|100|40|1|78|13|1|25|-7 
